"Domain","Timestamp","Resolver","Status","Query Time"
"test.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:57 UTC","16.51.167.219@53","NOERROR","106.5"
"test0.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:57 UTC","16.51.167.219@53","NOERROR","46.1"
"test1.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","45.8"
"test2.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","44.3"
"test3.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","44.6"
"test4.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","44.3"
"test5.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","44.0"
"test6.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","45.4"
"test7.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","43.3"
"test8.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","42.4"
"test9.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","42.7"
"test10.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","43.0"
"test11.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","46.3"
"test12.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","46.2"
"test13.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","43.9"
"test14.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","44.1"
"test15.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","46.2"
"test16.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","68.0"
"test17.SLHDSASHA2128S-SYDNEY0608.test","2026-08-07 07:42:58 UTC","16.51.167.219@53","NOERROR","49.6"
