Linux 7.0.0-1008-aws (ip-172-31-31-224) 	08/07/26 	_x86_64_	(2 CPU)

00:55:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:55:46        all     52.53      0.00      4.04      0.00      0.00     43.43
00:55:47        all     51.52      0.00      3.03      0.51      0.00     44.95
00:55:48        all     49.00      0.00      4.50      0.00      0.00     46.50
00:55:49        all     48.00      0.00      5.00      0.00      0.00     47.00
00:55:50        all     51.50      0.00      5.00      0.00      0.00     43.50
00:55:51        all     47.50      0.00      4.00      0.00      0.00     48.50
00:55:52        all     51.50      0.00      5.00      0.00      0.00     43.50
00:55:53        all     29.80      0.00      3.54      0.00      0.00     66.67
00:55:54        all      0.00      0.00      0.50      0.00      0.00     99.50
00:55:55        all      0.50      0.00      0.00      0.00      0.00     99.50
00:55:56        all      0.00      0.00      0.50      0.00      0.00     99.50
00:55:57        all      1.00      0.00      0.00      0.00      0.00     99.00
00:55:58        all      0.00      0.00      0.00      0.00      0.00    100.00
00:55:59        all      0.00      0.00      0.00      0.00      0.00    100.00
00:56:00        all      0.00      0.00      0.50      0.00      0.00     99.50
00:56:01        all      0.50      0.00      0.00      0.00      0.00     99.50
00:56:02        all      0.00      0.00      0.00      0.00      0.00    100.00
00:56:03        all      0.00      0.00      0.00      0.00      0.00    100.00
00:56:04        all      0.00      0.00      0.50      0.00      0.50     99.00
00:56:05        all      0.00      0.00      0.50      0.00      0.00     99.50
00:56:06        all      1.00      0.00      0.00      0.00      0.00     99.00
00:56:07        all      0.00      0.00      0.00      0.00      0.00    100.00
00:56:08        all      0.50      0.00      1.01      0.00      0.00     98.49
00:56:09        all      0.50      0.00      1.01      0.00      0.00     98.49
00:56:10        all      1.01      0.00      0.00      0.00      0.00     98.99
00:56:11        all      0.50      0.00      1.50      0.00      0.00     98.00
00:56:12        all      0.51      0.00      0.00      0.00      0.00     99.49
00:56:13        all      0.50      0.00      1.01      0.00      0.00     98.49
00:56:14        all      0.51      0.00      0.51      0.00      0.00     98.99
00:56:15        all      0.50      0.00      1.01      0.00      0.00     98.49
00:56:16        all      1.01      0.00      0.50      0.00      0.00     98.49
00:56:17        all      1.01      0.00      0.50      0.50      0.00     97.99
00:56:18        all      0.00      0.00      0.51      0.00      0.00     99.49
00:56:19        all      0.50      0.00      0.50      0.00      0.00     98.99
00:56:20        all      0.51      0.00      0.51      0.00      0.00     98.98
00:56:21        all      1.00      0.00      0.50      0.00      0.00     98.50
00:56:22        all      0.00      0.00      0.51      0.00      0.00     99.49
00:56:23        all      1.00      0.00      0.50      0.00      0.50     98.00
00:56:24        all      1.01      0.00      0.00      0.00      0.00     98.99
00:56:25        all      0.00      0.00      0.51      0.00      0.00     99.49
00:56:26        all      4.98      0.00      1.00      0.00      0.00     94.03
00:56:27        all      0.51      0.00      0.00      0.00      0.00     99.49
00:56:28        all      0.50      0.00      1.01      0.00      0.00     98.49
00:56:29        all      1.01      0.00      0.50      0.00      0.00     98.49
00:56:30        all      1.01      0.00      0.51      0.00      0.00     98.48
00:56:31        all      0.00      0.00      0.00      0.00      0.00    100.00
00:56:32        all      0.50      0.00      1.01      0.00      0.00     98.49
00:56:33        all      1.51      0.00      0.50      0.00      0.00     97.99
00:56:34        all      0.00      0.00      1.01      0.00      0.00     98.99
00:56:35        all      0.51      0.00      0.00      0.00      0.00     99.49
00:56:36        all      0.99      0.00      1.97      0.00      0.00     97.04
00:56:37        all      0.51      0.00      0.51      0.00      0.00     98.98
00:56:38        all      0.00      0.00      0.51      0.00      0.00     99.49
00:56:39        all      0.51      0.00      0.00      0.00      0.00     99.49
00:56:40        all      1.00      0.00      1.00      0.00      0.00     98.00
00:56:41        all      0.51      0.00      0.00      0.00      0.00     99.49
00:56:42        all      0.50      0.00      0.50      0.00      0.00     98.99
00:56:43        all      1.00      0.00      1.49      0.00      0.00     97.51
00:56:44        all      0.51      0.00      0.00      0.00      0.00     99.49
00:56:45        all      1.01      0.00      0.50      0.00      0.00     98.49
00:56:46        all      0.51      0.00      0.51      0.00      0.00     98.99
00:56:47        all      1.02      0.00      0.00      0.51      0.00     98.47
00:56:48        all      1.01      0.00      0.50      0.00      0.00     98.49
00:56:49        all      0.00      0.00      0.51      0.00      0.00     99.49
00:56:50        all      1.51      0.00      0.00      0.00      0.00     98.49
00:56:51        all      0.00      0.00      1.02      0.00      0.00     98.98
00:56:52        all      1.01      0.00      0.50      0.00      0.00     98.49
00:56:53        all      1.00      0.00      1.00      0.00      0.00     98.00
00:56:54        all      0.00      0.00      1.01      0.00      0.00     98.99
00:56:55        all      1.01      0.00      0.50      0.00      0.00     98.49
00:56:56        all      0.50      0.00      0.50      0.00      0.50     98.49
00:56:57        all      0.50      0.00      1.01      0.00      0.00     98.49
00:56:58        all      1.01      0.00      0.00      0.00      0.00     98.99
00:56:59        all      0.50      0.00      1.01      0.00      0.00     98.49
00:57:00        all      0.51      0.00      0.51      0.00      0.00     98.99
00:57:01        all      1.00      0.00      1.00      0.00      0.00     98.00
00:57:02        all      0.51      0.00      0.00      0.00      0.00     99.49
00:57:03        all      0.50      0.00      1.50      0.00      0.00     98.00
00:57:04        all      1.01      0.00      0.50      0.00      0.00     98.49
00:57:05        all      0.51      0.00      0.51      0.00      0.00     98.99
00:57:06        all      0.51      0.00      0.51      0.00      0.00     98.99
00:57:07        all      1.01      0.00      0.00      0.00      0.00     98.99
00:57:08        all      1.00      0.00      1.00      0.00      0.00     98.00
00:57:09        all      0.00      0.00      0.00      0.00      0.00    100.00
00:57:10        all      0.99      0.00      0.99      0.00      0.50     97.52
00:57:11        all      0.00      0.00      0.00      0.00      0.00    100.00

Average:        all      5.00      0.00      0.86      0.02      0.02     94.10
