Linux 7.0.0-1008-aws (ip-172-31-20-134) 	08/07/26 	_x86_64_	(2 CPU)

10:55:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
10:55:48        all      2.01      0.00      1.01      0.00      0.00     96.98
10:55:49        all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:50        all      0.00      0.00      0.50      0.00      0.00     99.50
10:55:51        all      0.50      0.00      0.00      0.00      0.00     99.50
10:55:52        all      0.50      0.00      0.50      0.00      0.00     99.00
10:55:53        all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:54        all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:55        all      0.00      0.00      0.00      0.00      0.00    100.00
10:55:56        all      0.50      0.00      0.00      0.00      0.00     99.50
10:55:57        all      0.00      0.00      0.50      0.00      0.00     99.50
10:55:58        all      5.53      0.00      1.51      0.00      0.00     92.96
10:55:59        all      0.00      0.00      0.00      0.00      0.00    100.00
10:56:00        all      0.00      0.00      0.00      0.00      0.50     99.50
10:56:01        all      1.00      0.00      0.00      0.00      0.50     98.51
10:56:02        all      0.00      0.00      0.00      0.51      0.00     99.49
10:56:03        all      0.50      0.00      0.50      0.00      0.00     99.00
10:56:04        all      0.50      0.00      0.50      0.00      0.00     99.00
10:56:05        all      0.00      0.00      0.50      0.00      0.00     99.50
10:56:06        all      0.50      0.00      0.00      0.00      0.00     99.50
10:56:07        all      6.53      0.00      1.51      0.00      0.00     91.96
10:56:08        all      7.14      0.00      0.00      0.00      0.00     92.86
10:56:09        all      6.60      0.00      1.02      0.00      0.00     92.39
10:56:10        all      6.60      0.00      0.51      0.00      0.00     92.89
10:56:11        all      7.11      0.00      0.51      0.00      0.00     92.39
10:56:12        all      6.60      0.00      0.51      0.00      0.00     92.89
10:56:13        all     12.12      0.00      2.53      0.00      0.00     85.35
10:56:14        all      6.60      0.00      0.51      0.00      0.00     92.89
10:56:15        all      6.09      0.00      1.02      0.00      0.00     92.89
10:56:16        all      6.50      0.00      1.50      0.00      0.00     92.00
10:56:17        all      6.60      0.00      1.02      0.00      0.00     92.39
10:56:18        all      7.11      0.00      0.51      0.00      0.00     92.39
10:56:19        all      6.57      0.00      0.51      0.00      0.00     92.93
10:56:20        all      6.06      0.00      1.52      0.00      0.00     92.42
10:56:21        all      6.63      0.00      0.51      0.00      0.00     92.86
10:56:22        all      6.63      0.00      0.51      0.00      0.00     92.86
10:56:23        all      6.57      0.00      1.01      0.00      0.00     92.42
10:56:24        all      5.64      0.00      0.00      0.00      0.00     94.36
10:56:25        all      7.00      0.00      1.00      0.00      0.50     91.50
10:56:26        all      6.60      0.00      1.02      0.00      0.00     92.39
10:56:27        all      6.06      0.00      1.01      0.00      0.00     92.93
10:56:28        all     11.68      0.00      2.03      0.00      0.00     86.29
10:56:29        all      6.09      0.00      0.51      0.00      0.51     92.89
10:56:30        all      6.63      0.00      0.51      0.00      0.00     92.86
10:56:31        all      7.04      0.00      1.01      0.00      0.00     91.96
10:56:32        all      7.04      0.00      1.01      1.01      0.00     90.95
10:56:33        all      6.60      0.00      1.02      0.00      0.00     92.39
10:56:34        all      6.06      0.00      1.01      0.00      0.00     92.93
10:56:35        all      6.12      0.00      0.51      0.00      0.00     93.37
10:56:36        all      7.00      0.00      1.00      0.00      0.00     92.00
10:56:37        all      6.60      0.00      0.51      0.00      0.00     92.89
10:56:38        all      6.15      0.00      0.51      0.00      0.00     93.33
10:56:39        all      5.58      0.00      0.51      0.00      0.00     93.91
10:56:40        all      6.53      0.00      1.51      0.00      0.00     91.96
10:56:41        all      6.67      0.00      0.00      0.00      0.00     93.33
10:56:42        all      6.06      0.00      1.01      0.00      0.00     92.93
10:56:43        all     11.62      0.00      2.53      0.00      0.00     85.86
10:56:44        all      6.53      0.00      0.50      0.00      0.00     92.96
10:56:45        all      6.60      0.00      1.02      0.00      0.00     92.39
10:56:46        all      7.14      0.00      0.00      0.00      0.00     92.86
10:56:47        all      6.06      0.00      1.01      0.00      0.00     92.93
10:56:48        all      6.60      0.00      0.51      0.00      0.00     92.89
10:56:49        all      7.04      0.00      1.51      0.00      0.00     91.46
10:56:50        all      6.09      0.00      0.51      0.00      0.00     93.40
10:56:51        all      7.11      0.00      1.02      0.00      0.00     91.88
10:56:52        all      9.64      0.00      0.00      0.00      0.00     90.36
10:56:53        all      6.12      0.00      1.02      0.00      0.00     92.86
10:56:54        all      6.57      0.00      1.01      0.00      0.00     92.42
10:56:55        all      6.53      0.00      0.50      0.00      0.00     92.96
10:56:56        all      6.57      0.00      1.01      0.00      0.51     91.92
10:56:57        all      6.53      0.00      1.01      0.00      0.00     92.46
10:56:58        all     12.18      0.00      2.03      0.00      0.00     85.79
10:56:59        all      6.57      0.00      0.51      0.00      0.00     92.93
10:57:00        all      5.58      0.00      1.02      0.00      0.51     92.89
10:57:01        all      6.06      0.00      1.01      0.00      0.00     92.93
10:57:02        all      6.57      0.00      1.01      0.51      0.00     91.92
10:57:03        all      8.08      0.00      0.51      0.00      0.51     90.91
10:57:04        all      6.53      0.00      1.51      0.00      0.00     91.96
10:57:05        all      6.12      0.00      0.00      0.00      0.00     93.88
10:57:06        all      6.60      0.00      1.02      0.00      0.00     92.39
10:57:07        all      6.53      0.00      1.01      0.00      0.00     92.46
10:57:08        all      6.12      0.00      0.00      0.00      0.00     93.88
10:57:09        all      6.06      0.00      1.01      0.00      0.00     92.93
10:57:10        all      0.00      0.00      0.00      0.00      0.00    100.00
10:57:11        all      0.50      0.00      0.50      0.00      0.00     99.00
10:57:12        all      0.00      0.00      0.00      0.00      0.00    100.00

Average:        all      5.25      0.00      0.71      0.02      0.04     93.97
