"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","98.5"
"test0.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","28.2"
"test1.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","30.0"
"test2.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","28.9"
"test3.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","32.2"
"test4.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","27.3"
"test5.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","30.5"
"test6.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","29.4"
"test7.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","28.7"
"test8.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","29.5"
"test9.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","29.5"
"test10.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","30.7"
"test11.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","30.8"
"test12.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","29.3"
"test13.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","31.2"
"test14.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","29.1"
"test15.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","28.1"
"test16.example.test","2026-07-23 00:04:59 UTC","16.50.116.56@53","NOERROR","29.4"
"test17.example.test","2026-07-23 00:05:00 UTC","16.50.116.56@53","NOERROR","37.8"
"test18.example.test","2026-07-23 00:05:00 UTC","16.50.116.56@53","NOERROR","35.5"
"test19.example.test","2026-07-23 00:05:00 UTC","16.50.116.56@53","NOERROR","32.9"
