"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:09:52 UTC","16.50.116.56@53","NOERROR","148.0"
"test0.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","50.6"
"test1.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","54.8"
"test2.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","51.1"
"test3.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","55.5"
"test4.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","52.7"
"test5.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","56.9"
"test6.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","60.1"
"test7.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","52.4"
"test8.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","51.6"
"test9.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","49.3"
"test10.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","58.1"
"test11.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","52.0"
"test12.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","52.6"
"test13.example.test","2026-07-23 00:09:53 UTC","16.50.116.56@53","NOERROR","55.9"
"test14.example.test","2026-07-23 00:09:54 UTC","16.50.116.56@53","NOERROR","50.6"
"test15.example.test","2026-07-23 00:09:54 UTC","16.50.116.56@53","NOERROR","60.0"
"test16.example.test","2026-07-23 00:09:54 UTC","16.50.116.56@53","NOERROR","55.6"
"test17.example.test","2026-07-23 00:09:54 UTC","16.50.116.56@53","NOERROR","53.2"
"test18.example.test","2026-07-23 00:09:54 UTC","16.50.116.56@53","NOERROR","55.9"
"test19.example.test","2026-07-23 00:09:54 UTC","16.50.116.56@53","NOERROR","57.2"
