"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","135.2"
"test0.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","59.8"
"test1.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","67.6"
"test2.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","65.9"
"test3.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","57.0"
"test4.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","59.9"
"test5.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","59.1"
"test6.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","58.7"
"test7.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","58.3"
"test8.example.test","2026-07-23 00:11:06 UTC","16.50.116.56@53","NOERROR","56.3"
"test9.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","60.3"
"test10.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","66.4"
"test11.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","64.9"
"test12.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","62.0"
"test13.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","58.6"
"test14.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","57.6"
"test15.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","59.7"
"test16.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","51.5"
"test17.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","58.4"
"test18.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","59.3"
"test19.example.test","2026-07-23 00:11:07 UTC","16.50.116.56@53","NOERROR","69.1"
