"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:19:55 UTC","16.50.116.56@53","NOERROR","139.0"
"test0.example.test","2026-07-23 00:19:55 UTC","16.50.116.56@53","NOERROR","57.7"
"test1.example.test","2026-07-23 00:19:55 UTC","16.50.116.56@53","NOERROR","54.0"
"test2.example.test","2026-07-23 00:19:55 UTC","16.50.116.56@53","NOERROR","54.2"
"test3.example.test","2026-07-23 00:19:55 UTC","16.50.116.56@53","NOERROR","56.2"
"test4.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","55.9"
"test5.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","58.3"
"test6.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","61.4"
"test7.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","54.3"
"test8.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","58.7"
"test9.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","52.0"
"test10.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","49.2"
"test11.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","50.1"
"test12.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","54.8"
"test13.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","51.6"
"test14.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","54.1"
"test15.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","55.5"
"test16.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","58.7"
"test17.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","60.1"
"test18.example.test","2026-07-23 00:19:56 UTC","16.50.116.56@53","NOERROR","49.4"
"test19.example.test","2026-07-23 00:19:57 UTC","16.50.116.56@53","NOERROR","54.2"
