"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:18:24 UTC","16.50.116.56@53","NOERROR","140.5"
"test0.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","53.9"
"test1.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","54.9"
"test2.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","57.9"
"test3.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","51.9"
"test4.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","48.4"
"test5.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","52.9"
"test6.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","56.1"
"test7.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","59.2"
"test8.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","54.4"
"test9.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","56.5"
"test10.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","55.7"
"test11.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","53.5"
"test12.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","57.5"
"test13.example.test","2026-07-23 00:18:25 UTC","16.50.116.56@53","NOERROR","51.5"
"test14.example.test","2026-07-23 00:18:26 UTC","16.50.116.56@53","NOERROR","60.4"
"test15.example.test","2026-07-23 00:18:26 UTC","16.50.116.56@53","NOERROR","50.1"
"test16.example.test","2026-07-23 00:18:26 UTC","16.50.116.56@53","NOERROR","60.6"
"test17.example.test","2026-07-23 00:18:26 UTC","16.50.116.56@53","NOERROR","51.5"
"test18.example.test","2026-07-23 00:18:26 UTC","16.50.116.56@53","NOERROR","53.0"
"test19.example.test","2026-07-23 00:18:26 UTC","16.50.116.56@53","NOERROR","56.3"
