"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","130.2"
"test0.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","55.3"
"test1.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","52.1"
"test2.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","62.4"
"test3.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","51.6"
"test4.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","55.5"
"test5.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","53.0"
"test6.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","55.2"
"test7.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","56.2"
"test8.example.test","2026-07-23 00:14:32 UTC","16.50.116.56@53","NOERROR","59.2"
"test9.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","51.2"
"test10.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","56.4"
"test11.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","52.4"
"test12.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","52.6"
"test13.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","51.1"
"test14.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","51.5"
"test15.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","50.6"
"test16.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","49.3"
"test17.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","55.2"
"test18.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","51.3"
"test19.example.test","2026-07-23 00:14:33 UTC","16.50.116.56@53","NOERROR","50.8"
