"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-23 00:15:20 UTC","16.50.116.56@53","NOERROR","126.1"
"test0.example.test","2026-07-23 00:15:20 UTC","16.50.116.56@53","NOERROR","52.4"
"test1.example.test","2026-07-23 00:15:20 UTC","16.50.116.56@53","NOERROR","61.4"
"test2.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","58.5"
"test3.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","51.1"
"test4.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","53.5"
"test5.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","49.6"
"test6.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","51.5"
"test7.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","58.4"
"test8.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","53.4"
"test9.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","56.5"
"test10.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","55.5"
"test11.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","54.9"
"test12.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","51.3"
"test13.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","49.5"
"test14.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","57.8"
"test15.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","51.2"
"test16.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","51.9"
"test17.example.test","2026-07-23 00:15:21 UTC","16.50.116.56@53","NOERROR","49.7"
"test18.example.test","2026-07-23 00:15:22 UTC","16.50.116.56@53","NOERROR","55.1"
"test19.example.test","2026-07-23 00:15:22 UTC","16.50.116.56@53","NOERROR","51.9"
