"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-22 23:54:09 UTC","16.50.116.56@53","NOERROR","91.3"
"test0.example.test","2026-07-22 23:54:09 UTC","16.50.116.56@53","NOERROR","41.4"
"test1.example.test","2026-07-22 23:54:09 UTC","16.50.116.56@53","NOERROR","42.3"
"test2.example.test","2026-07-22 23:54:09 UTC","16.50.116.56@53","NOERROR","42.7"
"test3.example.test","2026-07-22 23:54:09 UTC","16.50.116.56@53","NOERROR","41.1"
"test4.example.test","2026-07-22 23:54:09 UTC","16.50.116.56@53","NOERROR","40.8"
"test5.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","40.6"
"test6.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","41.4"
"test7.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","42.8"
"test8.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","42.7"
"test9.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","41.4"
"test10.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","42.0"
"test11.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","42.4"
"test12.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","39.4"
"test13.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","41.8"
"test14.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","38.6"
"test15.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","40.8"
"test16.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","40.0"
"test17.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","43.6"
"test18.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","40.3"
"test19.example.test","2026-07-22 23:54:10 UTC","16.50.116.56@53","NOERROR","39.9"
