"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","96.3"
"test0.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","39.6"
"test1.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","44.1"
"test2.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","38.8"
"test3.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","44.3"
"test4.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","39.4"
"test5.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","42.5"
"test6.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","39.5"
"test7.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","42.4"
"test8.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","40.1"
"test9.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","40.8"
"test10.example.test","2026-07-22 23:52:56 UTC","16.50.116.56@53","NOERROR","36.4"
"test11.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","39.9"
"test12.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","40.8"
"test13.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","37.5"
"test14.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","42.2"
"test15.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","37.8"
"test16.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","41.7"
"test17.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","38.8"
"test18.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","39.9"
"test19.example.test","2026-07-22 23:52:57 UTC","16.50.116.56@53","NOERROR","42.4"
