"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-22 23:48:34 UTC","16.50.116.56@53","NOERROR","138.9"
"test0.example.test","2026-07-22 23:48:34 UTC","16.50.116.56@53","NOERROR","53.8"
"test1.example.test","2026-07-22 23:48:34 UTC","16.50.116.56@53","NOERROR","53.5"
"test2.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","51.7"
"test3.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","47.8"
"test4.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","53.0"
"test5.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","51.8"
"test6.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","51.8"
"test7.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","55.2"
"test8.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","56.1"
"test9.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","54.4"
"test10.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","52.2"
"test11.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","50.7"
"test12.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","49.4"
"test13.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","51.9"
"test14.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","53.7"
"test15.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","55.2"
"test16.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","55.6"
"test17.example.test","2026-07-22 23:48:35 UTC","16.50.116.56@53","NOERROR","56.2"
"test18.example.test","2026-07-22 23:48:36 UTC","16.50.116.56@53","NOERROR","53.9"
"test19.example.test","2026-07-22 23:48:36 UTC","16.50.116.56@53","NOERROR","50.7"
