"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 06:39:47 UTC","16.27.6.160@853","NOERROR","116.3"
"test0.example.test","2026-07-02 06:39:47 UTC","16.27.6.160@853","NOERROR","62.2"
"test1.example.test","2026-07-02 06:39:47 UTC","16.27.6.160@853","NOERROR","61.0"
"test2.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","66.1"
"test3.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","64.5"
"test4.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","60.7"
"test5.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","57.9"
"test6.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","63.0"
"test7.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","57.9"
"test8.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","57.7"
"test9.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","55.8"
"test10.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","59.4"
"test11.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","57.2"
"test12.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","57.9"
"test13.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","57.5"
"test14.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","57.5"
"test15.example.test","2026-07-02 06:39:48 UTC","16.27.6.160@853","NOERROR","59.4"
"test16.example.test","2026-07-02 06:39:49 UTC","16.27.6.160@853","NOERROR","58.1"
"test17.example.test","2026-07-02 06:39:49 UTC","16.27.6.160@853","NOERROR","62.7"
"test18.example.test","2026-07-02 06:39:49 UTC","16.27.6.160@853","NOERROR","62.6"
"test19.example.test","2026-07-02 06:39:49 UTC","16.27.6.160@853","NOERROR","58.6"
