"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 07:29:27 UTC","16.27.6.160@8853","NOERROR","165.0"
"test0.example.test","2026-07-02 07:29:27 UTC","16.27.6.160@8853","NOERROR","79.9"
"test1.example.test","2026-07-02 07:29:27 UTC","16.27.6.160@8853","NOERROR","79.6"
"test2.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","79.7"
"test3.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","73.2"
"test4.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","75.1"
"test5.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","87.1"
"test6.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","82.4"
"test7.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","85.1"
"test8.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","76.8"
"test9.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","73.5"
"test10.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","82.5"
"test11.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","84.0"
"test12.example.test","2026-07-02 07:29:28 UTC","16.27.6.160@8853","NOERROR","76.0"
"test13.example.test","2026-07-02 07:29:29 UTC","16.27.6.160@8853","NOERROR","80.0"
"test14.example.test","2026-07-02 07:29:29 UTC","16.27.6.160@8853","NOERROR","79.2"
"test15.example.test","2026-07-02 07:29:29 UTC","16.27.6.160@8853","NOERROR","85.5"
"test16.example.test","2026-07-02 07:29:29 UTC","16.27.6.160@8853","NOERROR","80.2"
"test17.example.test","2026-07-02 07:29:29 UTC","16.27.6.160@8853","NOERROR","76.3"
"test18.example.test","2026-07-02 07:29:29 UTC","16.27.6.160@8853","NOERROR","84.7"
"test19.example.test","2026-07-02 07:29:29 UTC","16.27.6.160@8853","NOERROR","74.2"
