"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 05:23:43 UTC","16.27.6.160@8853","NOERROR","168.1"
"test0.example.test","2026-07-02 05:23:43 UTC","16.27.6.160@8853","NOERROR","74.8"
"test1.example.test","2026-07-02 05:23:43 UTC","16.27.6.160@8853","NOERROR","84.8"
"test2.example.test","2026-07-02 05:23:43 UTC","16.27.6.160@8853","NOERROR","80.9"
"test3.example.test","2026-07-02 05:23:43 UTC","16.27.6.160@8853","NOERROR","84.9"
"test4.example.test","2026-07-02 05:23:43 UTC","16.27.6.160@8853","NOERROR","78.4"
"test5.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","82.4"
"test6.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","90.6"
"test7.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","78.6"
"test8.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","75.8"
"test9.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","80.9"
"test10.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","79.9"
"test11.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","82.2"
"test12.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","84.7"
"test13.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","81.4"
"test14.example.test","2026-07-02 05:23:44 UTC","16.27.6.160@8853","NOERROR","77.6"
"test15.example.test","2026-07-02 05:23:45 UTC","16.27.6.160@8853","NOERROR","81.1"
"test16.example.test","2026-07-02 05:23:45 UTC","16.27.6.160@8853","NOERROR","84.4"
"test17.example.test","2026-07-02 05:23:45 UTC","16.27.6.160@8853","NOERROR","75.8"
"test18.example.test","2026-07-02 05:23:45 UTC","16.27.6.160@8853","NOERROR","79.9"
"test19.example.test","2026-07-02 05:23:45 UTC","16.27.6.160@8853","NOERROR","79.5"
