"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","87.4"
"test0.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","72.0"
"test1.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","63.4"
"test2.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","63.9"
"test3.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","70.0"
"test4.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","69.3"
"test5.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","74.3"
"test6.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","65.9"
"test7.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","62.6"
"test8.example.test","2026-07-02 05:29:25 UTC","16.27.6.160@53","NOERROR","67.3"
"test9.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","64.0"
"test10.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","59.9"
"test11.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","70.3"
"test12.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","64.0"
"test13.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","67.7"
"test14.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","71.7"
"test15.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","65.5"
"test16.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","66.1"
"test17.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","66.3"
"test18.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","63.4"
"test19.example.test","2026-07-02 05:29:26 UTC","16.27.6.160@53","NOERROR","61.8"
