"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","107.5"
"test0.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","51.1"
"test1.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","56.0"
"test2.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","59.0"
"test3.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","52.2"
"test4.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","48.8"
"test5.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","53.9"
"test6.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","51.8"
"test7.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","54.8"
"test8.example.test","2026-07-02 06:37:30 UTC","16.27.6.160@53","NOERROR","57.5"
"test9.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","55.2"
"test10.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","58.7"
"test11.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","54.7"
"test12.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","55.2"
"test13.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","50.3"
"test14.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","55.6"
"test15.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","55.0"
"test16.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","58.0"
"test17.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","55.2"
"test18.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","56.9"
"test19.example.test","2026-07-02 06:37:31 UTC","16.27.6.160@53","NOERROR","58.3"
