"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 05:20:45 UTC","16.27.6.160@53","NOERROR","79.1"
"test0.example.test","2026-07-02 05:20:45 UTC","16.27.6.160@53","NOERROR","54.3"
"test1.example.test","2026-07-02 05:20:45 UTC","16.27.6.160@53","NOERROR","54.9"
"test2.example.test","2026-07-02 05:20:45 UTC","16.27.6.160@53","NOERROR","51.8"
"test3.example.test","2026-07-02 05:20:45 UTC","16.27.6.160@53","NOERROR","48.9"
"test4.example.test","2026-07-02 05:20:45 UTC","16.27.6.160@53","NOERROR","51.4"
"test5.example.test","2026-07-02 05:20:45 UTC","16.27.6.160@53","NOERROR","51.9"
"test6.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","52.4"
"test7.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","49.1"
"test8.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","57.2"
"test9.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","53.9"
"test10.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","49.6"
"test11.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","50.7"
"test12.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","53.5"
"test13.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","55.1"
"test14.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","55.3"
"test15.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","50.9"
"test16.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","49.8"
"test17.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","55.7"
"test18.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","56.7"
"test19.example.test","2026-07-02 05:20:46 UTC","16.27.6.160@53","NOERROR","51.1"
