"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 11:47:18 AEST","16.27.6.160@53","NOERROR","20.3"
"test0.example.test","2026-07-02 11:47:18 AEST","16.27.6.160@53","NOERROR","100.0"
"test1.example.test","2026-07-02 11:47:18 AEST","16.27.6.160@53","NOERROR","100.3"
"test2.example.test","2026-07-02 11:47:18 AEST","16.27.6.160@53","NOERROR","103.5"
"test3.example.test","2026-07-02 11:47:18 AEST","16.27.6.160@53","NOERROR","117.5"
"test4.example.test","2026-07-02 11:47:18 AEST","16.27.6.160@53","NOERROR","94.9"
"test5.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","105.8"
"test6.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","106.6"
"test7.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","107.0"
"test8.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","108.1"
"test9.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","106.0"
"test10.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","107.1"
"test11.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","104.2"
"test12.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","110.5"
"test13.example.test","2026-07-02 11:47:19 AEST","16.27.6.160@53","NOERROR","106.5"
"test14.example.test","2026-07-02 11:47:20 AEST","16.27.6.160@53","NOERROR","104.8"
"test15.example.test","2026-07-02 11:47:20 AEST","16.27.6.160@53","NOERROR","106.6"
"test16.example.test","2026-07-02 11:47:20 AEST","16.27.6.160@53","NOERROR","105.5"
"test17.example.test","2026-07-02 11:47:20 AEST","16.27.6.160@53","NOERROR","106.4"
"test18.example.test","2026-07-02 11:47:20 AEST","16.27.6.160@53","NOERROR","107.2"
"test19.example.test","2026-07-02 11:47:20 AEST","16.27.6.160@53","NOERROR","107.9"
