"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","13.9"
"test0.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","55.1"
"test1.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","52.4"
"test2.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","55.8"
"test3.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","50.6"
"test4.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","52.7"
"test5.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","56.8"
"test6.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","51.1"
"test7.example.test","2026-07-02 02:06:34 UTC","16.27.6.160@53","NOERROR","52.6"
"test8.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","51.0"
"test9.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","52.0"
"test10.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","56.5"
"test11.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","53.8"
"test12.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","55.1"
"test13.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","53.6"
"test14.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","55.5"
"test15.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","55.7"
"test16.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","49.6"
"test17.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","58.2"
"test18.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","54.1"
"test19.example.test","2026-07-02 02:06:35 UTC","16.27.6.160@53","NOERROR","48.5"
