"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","82.1"
"test0.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","91.9"
"test1.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","106.8"
"test2.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","106.4"
"test3.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","106.1"
"test4.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","111.0"
"test5.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","108.5"
"test6.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","105.1"
"test7.example.test","2026-07-02 11:49:07 AEST","16.27.6.160@53","NOERROR","106.2"
"test8.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","96.5"
"test9.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","113.2"
"test10.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","109.9"
"test11.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","102.4"
"test12.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","106.3"
"test13.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","58.1"
"test14.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","47.8"
"test15.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","107.2"
"test16.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","101.4"
"test17.example.test","2026-07-02 11:49:08 AEST","16.27.6.160@53","NOERROR","106.7"
"test18.example.test","2026-07-02 11:49:09 AEST","16.27.6.160@53","NOERROR","84.0"
"test19.example.test","2026-07-02 11:49:09 AEST","16.27.6.160@53","NOERROR","105.3"
