"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 11:43:42 AEST","16.27.6.160@53","NOERROR","139.8"
"test0.example.test","2026-07-02 11:43:42 AEST","16.27.6.160@53","NOERROR","106.8"
"test1.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","114.2"
"test2.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","96.1"
"test3.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","106.9"
"test4.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","104.3"
"test5.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","105.9"
"test6.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","106.9"
"test7.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","106.3"
"test8.example.test","2026-07-02 11:43:43 AEST","16.27.6.160@53","NOERROR","217.3"
"test9.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","109.3"
"test10.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","109.3"
"test11.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","105.1"
"test12.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","106.1"
"test13.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","65.9"
"test14.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","57.3"
"test15.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","82.5"
"test16.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","106.4"
"test17.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","56.8"
"test18.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","51.0"
"test19.example.test","2026-07-02 11:43:44 AEST","16.27.6.160@53","NOERROR","99.9"
