"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","77.8"
"test0.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","57.9"
"test1.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","54.4"
"test2.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","53.8"
"test3.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","54.5"
"test4.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","58.3"
"test5.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","55.7"
"test6.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","58.4"
"test7.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","63.7"
"test8.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","59.7"
"test9.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","55.1"
"test10.example.test","2026-07-02 06:43:08 UTC","16.27.6.160@53","NOERROR","56.5"
"test11.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","56.7"
"test12.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","58.8"
"test13.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","59.0"
"test14.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","54.0"
"test15.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","61.7"
"test16.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","55.9"
"test17.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","62.7"
"test18.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","58.4"
"test19.example.test","2026-07-02 06:43:09 UTC","16.27.6.160@53","NOERROR","53.8"
