"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 09:06:29 UTC","16.27.6.160@853","NOERROR","256.7"
"test0.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","61.7"
"test1.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","58.2"
"test2.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","64.9"
"test3.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","64.1"
"test4.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","56.1"
"test5.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","63.7"
"test6.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","58.6"
"test7.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","57.2"
"test8.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","57.0"
"test9.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","59.2"
"test10.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","60.5"
"test11.example.test","2026-07-02 09:06:30 UTC","16.27.6.160@853","NOERROR","57.8"
"test12.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","59.4"
"test13.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","58.8"
"test14.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","62.5"
"test15.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","59.4"
"test16.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","57.1"
"test17.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","58.9"
"test18.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","60.1"
"test19.example.test","2026-07-02 09:06:31 UTC","16.27.6.160@853","NOERROR","56.2"
