"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 09:10:28 UTC","16.27.6.160@53","NOERROR","68.1"
"test0.example.test","2026-07-02 09:10:29 UTC","16.27.6.160@53","NOERROR","67.2"
"test1.example.test","2026-07-02 09:10:29 UTC","16.27.6.160@53","NOERROR","71.3"
"test2.example.test","2026-07-02 09:10:29 UTC","16.27.6.160@53","NOERROR","69.1"
"test3.example.test","2026-07-02 09:10:29 UTC","16.27.6.160@53","NOERROR","70.5"
"test4.example.test","2026-07-02 09:10:29 UTC","16.27.6.160@53","NOERROR","68.4"
"test5.example.test","2026-07-02 09:10:29 UTC","16.27.6.160@53","NOERROR","62.1"
"test6.example.test","2026-07-02 09:10:29 UTC","16.27.6.160@53","NOERROR","70.0"
"test7.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","68.3"
"test8.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","66.7"
"test9.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","67.8"
"test10.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","67.5"
"test11.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","66.1"
"test12.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","66.6"
"test13.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","67.9"
"test14.example.test","2026-07-02 09:10:30 UTC","16.27.6.160@53","NOERROR","71.3"
"test15.example.test","2026-07-02 09:10:31 UTC","16.27.6.160@53","NOERROR","70.3"
"test16.example.test","2026-07-02 09:10:31 UTC","16.27.6.160@53","NOERROR","69.5"
"test17.example.test","2026-07-02 09:10:31 UTC","16.27.6.160@53","NOERROR","66.1"
"test18.example.test","2026-07-02 09:10:31 UTC","16.27.6.160@53","NOERROR","67.3"
"test19.example.test","2026-07-02 09:10:31 UTC","16.27.6.160@53","NOERROR","64.2"
