"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 09:35:46 UTC","16.27.6.160@53","NOERROR","57.7"
"test0.example.test","2026-07-02 09:35:46 UTC","16.27.6.160@53","NOERROR","64.0"
"test1.example.test","2026-07-02 09:35:46 UTC","16.27.6.160@53","NOERROR","53.9"
"test2.example.test","2026-07-02 09:35:46 UTC","16.27.6.160@53","NOERROR","55.1"
"test3.example.test","2026-07-02 09:35:46 UTC","16.27.6.160@53","NOERROR","58.4"
"test4.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","58.8"
"test5.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","56.1"
"test6.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","61.2"
"test7.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","62.6"
"test8.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","56.2"
"test9.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","59.0"
"test10.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","60.8"
"test11.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","55.5"
"test12.example.test","2026-07-02 09:35:47 UTC","16.27.6.160@53","NOERROR","54.9"
"test13.example.test","2026-07-02 09:35:48 UTC","16.27.6.160@53","NOERROR","58.8"
"test14.example.test","2026-07-02 09:35:48 UTC","16.27.6.160@53","NOERROR","58.5"
"test15.example.test","2026-07-02 09:35:48 UTC","16.27.6.160@53","NOERROR","55.0"
"test16.example.test","2026-07-02 09:35:48 UTC","16.27.6.160@53","NOERROR","63.3"
"test17.example.test","2026-07-02 09:35:48 UTC","16.27.6.160@53","NOERROR","56.5"
"test18.example.test","2026-07-02 09:35:48 UTC","16.27.6.160@53","NOERROR","58.4"
"test19.example.test","2026-07-02 09:35:48 UTC","16.27.6.160@53","NOERROR","53.0"
