"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 09:20:03 UTC","16.27.6.160@53","NOERROR","24.1"
"test0.example.test","2026-07-02 09:20:03 UTC","16.27.6.160@53","NOERROR","78.0"
"test1.example.test","2026-07-02 09:20:04 UTC","16.27.6.160@53","NOERROR","78.4"
"test2.example.test","2026-07-02 09:20:04 UTC","16.27.6.160@53","NOERROR","78.2"
"test3.example.test","2026-07-02 09:20:04 UTC","16.27.6.160@53","NOERROR","79.4"
"test4.example.test","2026-07-02 09:20:04 UTC","16.27.6.160@53","NOERROR","83.2"
"test5.example.test","2026-07-02 09:20:04 UTC","16.27.6.160@53","NOERROR","83.9"
"test6.example.test","2026-07-02 09:20:04 UTC","16.27.6.160@53","NOERROR","82.1"
"test7.example.test","2026-07-02 09:20:05 UTC","16.27.6.160@53","NOERROR","85.3"
"test8.example.test","2026-07-02 09:20:05 UTC","16.27.6.160@53","NOERROR","81.0"
"test9.example.test","2026-07-02 09:20:05 UTC","16.27.6.160@53","NOERROR","80.2"
"test10.example.test","2026-07-02 09:20:05 UTC","16.27.6.160@53","NOERROR","80.8"
"test11.example.test","2026-07-02 09:20:05 UTC","16.27.6.160@53","NOERROR","81.5"
"test12.example.test","2026-07-02 09:20:05 UTC","16.27.6.160@53","NOERROR","81.0"
"test13.example.test","2026-07-02 09:20:06 UTC","16.27.6.160@53","NOERROR","84.4"
"test14.example.test","2026-07-02 09:20:06 UTC","16.27.6.160@53","NOERROR","77.4"
"test15.example.test","2026-07-02 09:20:06 UTC","16.27.6.160@53","NOERROR","79.8"
"test16.example.test","2026-07-02 09:20:06 UTC","16.27.6.160@53","NOERROR","78.9"
"test17.example.test","2026-07-02 09:20:06 UTC","16.27.6.160@53","NOERROR","78.2"
"test18.example.test","2026-07-02 09:20:06 UTC","16.27.6.160@53","NOERROR","87.7"
"test19.example.test","2026-07-02 09:20:07 UTC","16.27.6.160@53","NOERROR","81.6"
