"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","54.5"
"test0.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","52.8"
"test1.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","48.6"
"test2.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","52.0"
"test3.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","51.6"
"test4.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","53.6"
"test5.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","47.9"
"test6.example.test","2026-06-22 11:06:14 AEST","16.51.152.19@53","NOERROR","54.4"
"test7.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","56.2"
"test8.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","52.2"
"test9.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","51.8"
"test10.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","52.6"
"test11.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","54.9"
"test12.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","53.7"
"test13.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","50.5"
"test14.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","52.9"
"test15.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","50.9"
"test16.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","52.9"
"test17.example.test","2026-06-22 11:06:15 AEST","16.51.152.19@53","NOERROR","50.9"
"test18.example.test","2026-06-22 11:06:16 AEST","16.51.152.19@53","NOERROR","53.3"
"test19.example.test","2026-06-22 11:06:16 AEST","16.51.152.19@53","NOERROR","51.7"
