"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","56.3"
"test0.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","25.7"
"test1.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","23.5"
"test2.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","31.9"
"test3.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","34.7"
"test4.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","29.8"
"test5.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","28.5"
"test6.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","23.0"
"test7.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","28.0"
"test8.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","26.5"
"test9.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","30.5"
"test10.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","29.7"
"test11.example.test","2026-06-22 11:20:04 AEST","16.51.152.19@53","NOERROR","31.0"
"test12.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","30.4"
"test13.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","22.1"
"test14.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","27.8"
"test15.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","26.6"
"test16.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","27.9"
"test17.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","27.3"
"test18.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","26.2"
"test19.example.test","2026-06-22 11:20:05 AEST","16.51.152.19@53","NOERROR","23.6"
