Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 12:04:11 AEST,16.51.152.19@853,NOERROR,132.7
test0.example.test,2026-06-22 12:04:11 AEST,16.51.152.19@853,NOERROR,59.1
test1.example.test,2026-06-22 12:04:11 AEST,16.51.152.19@853,NOERROR,61.5
test2.example.test,2026-06-22 12:04:11 AEST,16.51.152.19@853,NOERROR,62
test3.example.test,2026-06-22 12:04:11 AEST,16.51.152.19@853,NOERROR,57.9
test4.example.test,2026-06-22 12:04:11 AEST,16.51.152.19@853,NOERROR,61.5
test5.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,64.2
test6.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,58
test7.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,68.5
test8.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,65.8
test9.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,63.2
test10.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,59.5
test11.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,66.6
test12.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,58.6
test13.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,65.1
test14.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,59.4
test15.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,61
test16.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,54.7
test17.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,64.6
test18.example.test,2026-06-22 12:04:12 AEST,16.51.152.19@853,NOERROR,61.6
test19.example.test,2026-06-22 12:04:13 AEST,16.51.152.19@853,NOERROR,60.5
,,,,61.665
,,,,3.41240384479915
