"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-22 12:11:08 AEST","16.51.152.19@853","NOERROR","170.6"
"test0.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","84.5"
"test1.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","88.7"
"test2.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","80.0"
"test3.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","84.1"
"test4.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","82.5"
"test5.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","78.9"
"test6.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","95.2"
"test7.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","82.9"
"test8.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","85.2"
"test9.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","85.4"
"test10.example.test","2026-06-22 12:11:09 AEST","16.51.152.19@853","NOERROR","76.5"
"test11.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","77.1"
"test12.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","83.7"
"test13.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","76.3"
"test14.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","84.6"
"test15.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","81.3"
"test16.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","86.7"
"test17.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","147.8"
"test18.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","116.5"
"test19.example.test","2026-06-22 12:11:10 AEST","16.51.152.19@853","NOERROR","89.0"
