Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,114
test0.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,50.6
test1.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,57.7
test2.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,50.5
test3.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,53.7
test4.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,48.5
test5.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,46.6
test6.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,47.6
test7.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,52.6
test8.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,47.4
test9.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,49.1
test10.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,49.9
test11.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,51.7
test12.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,43.4
test13.example.test,2026-06-22 11:48:27 AEST,16.51.152.19@53,NOERROR,47.2
test14.example.test,2026-06-22 11:48:28 AEST,16.51.152.19@53,NOERROR,50.7
test15.example.test,2026-06-22 11:48:28 AEST,16.51.152.19@53,NOERROR,57.7
test16.example.test,2026-06-22 11:48:28 AEST,16.51.152.19@53,NOERROR,49.6
test17.example.test,2026-06-22 11:48:28 AEST,16.51.152.19@53,NOERROR,44.2
test18.example.test,2026-06-22 11:48:28 AEST,16.51.152.19@53,NOERROR,54.6
test19.example.test,2026-06-22 11:48:28 AEST,16.51.152.19@53,NOERROR,49.9
,,,,50.16
,,,,3.81153374295496
