Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 11:51:46 AEST,16.51.152.19@53,NOERROR,107.4
test0.example.test,2026-06-22 11:51:46 AEST,16.51.152.19@53,NOERROR,45.7
test1.example.test,2026-06-22 11:51:46 AEST,16.51.152.19@53,NOERROR,47.9
test2.example.test,2026-06-22 11:51:46 AEST,16.51.152.19@53,NOERROR,56.4
test3.example.test,2026-06-22 11:51:46 AEST,16.51.152.19@53,NOERROR,46.6
test4.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,45
test5.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,53.1
test6.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,47.4
test7.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,47.6
test8.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,51.3
test9.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,45.7
test10.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,49.6
test11.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,49.1
test12.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,45.9
test13.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,45.2
test14.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,51.5
test15.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,50
test16.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,50
test17.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,52.4
test18.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,53.8
test19.example.test,2026-06-22 11:51:47 AEST,16.51.152.19@53,NOERROR,45.8
,,,,49
,,,,3.27381959442516
