"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-30 16:41:36 AEST","16.50.205.100@8853","NOERROR","268.5"
"test0.example.test","2026-06-30 16:41:37 AEST","16.50.205.100@8853","NOERROR","99.4"
"test1.example.test","2026-06-30 16:41:37 AEST","16.50.205.100@8853","NOERROR","180.1"
"test2.example.test","2026-06-30 16:41:37 AEST","16.50.205.100@8853","NOERROR","163.4"
"test3.example.test","2026-06-30 16:41:37 AEST","16.50.205.100@8853","NOERROR","74.6"
"test4.example.test","2026-06-30 16:41:37 AEST","16.50.205.100@8853","NOERROR","182.9"
"test5.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","112.9"
"test6.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","92.9"
"test7.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","165.2"
"test8.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","71.1"
"test9.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","173.8"
"test10.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","180.0"
"test11.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","77.2"
"test12.example.test","2026-06-30 16:41:38 AEST","16.50.205.100@8853","NOERROR","178.5"
"test13.example.test","2026-06-30 16:41:39 AEST","16.50.205.100@8853","NOERROR","161.0"
"test14.example.test","2026-06-30 16:41:39 AEST","16.50.205.100@8853","NOERROR","76.0"
"test15.example.test","2026-06-30 16:41:39 AEST","16.50.205.100@8853","NOERROR","163.4"
"test16.example.test","2026-06-30 16:41:39 AEST","16.50.205.100@8853","NOERROR","127.1"
"test17.example.test","2026-06-30 16:41:39 AEST","16.50.205.100@8853","NOERROR","136.0"
"test18.example.test","2026-06-30 16:41:39 AEST","16.50.205.100@8853","NOERROR","174.8"
"test19.example.test","2026-06-30 16:41:39 AEST","16.50.205.100@8853","NOERROR","164.7"
