"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-30 16:37:33 AEST","16.50.205.100@53","NOERROR","107.4"
"test0.example.test","2026-06-30 16:37:33 AEST","16.50.205.100@53","NOERROR","160.7"
"test1.example.test","2026-06-30 16:37:33 AEST","16.50.205.100@53","NOERROR","51.0"
"test2.example.test","2026-06-30 16:37:33 AEST","16.50.205.100@53","NOERROR","96.3"
"test3.example.test","2026-06-30 16:37:33 AEST","16.50.205.100@53","NOERROR","55.3"
"test4.example.test","2026-06-30 16:37:33 AEST","16.50.205.100@53","NOERROR","53.0"
"test5.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","153.2"
"test6.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","50.5"
"test7.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","157.0"
"test8.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","52.7"
"test9.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","155.2"
"test10.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","46.6"
"test11.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","161.1"
"test12.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","55.7"
"test13.example.test","2026-06-30 16:37:34 AEST","16.50.205.100@53","NOERROR","152.2"
"test14.example.test","2026-06-30 16:37:35 AEST","16.50.205.100@53","NOERROR","55.4"
"test15.example.test","2026-06-30 16:37:35 AEST","16.50.205.100@53","NOERROR","152.0"
"test16.example.test","2026-06-30 16:37:35 AEST","16.50.205.100@53","NOERROR","96.8"
"test17.example.test","2026-06-30 16:37:35 AEST","16.50.205.100@53","NOERROR","124.8"
"test18.example.test","2026-06-30 16:37:35 AEST","16.50.205.100@53","NOERROR","54.7"
"test19.example.test","2026-06-30 16:37:35 AEST","16.50.205.100@53","NOERROR","138.7"
