"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","57.9"
"test0.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","21.6"
"test1.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","129.1"
"test2.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","26.5"
"test3.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","29.1"
"test4.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","26.1"
"test5.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","115.3"
"test6.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","24.6"
"test7.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","23.5"
"test8.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","24.9"
"test9.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","92.1"
"test10.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","29.9"
"test11.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","28.4"
"test12.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","27.3"
"test13.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","143.3"
"test14.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","27.1"
"test15.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","28.1"
"test16.example.test","2026-06-30 16:39:49 AEST","16.50.205.100@53","NOERROR","26.3"
"test17.example.test","2026-06-30 16:39:50 AEST","16.50.205.100@53","NOERROR","115.3"
"test18.example.test","2026-06-30 16:39:50 AEST","16.50.205.100@53","NOERROR","21.8"
"test19.example.test","2026-06-30 16:39:50 AEST","16.50.205.100@53","NOERROR","29.0"
