"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","51.0"
"test0.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","24.2"
"test1.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","25.9"
"test2.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","26.0"
"test3.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","28.3"
"test4.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","26.4"
"test5.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","27.6"
"test6.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","21.6"
"test7.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","27.5"
"test8.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","20.8"
"test9.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","28.4"
"test10.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","26.7"
"test11.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","27.2"
"test12.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","108.6"
"test13.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","26.7"
"test14.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","27.9"
"test15.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","47.4"
"test16.example.test","2026-06-30 16:35:06 AEST","16.50.205.100@53","NOERROR","27.7"
"test17.example.test","2026-06-30 16:35:07 AEST","16.50.205.100@53","NOERROR","28.1"
"test18.example.test","2026-06-30 16:35:07 AEST","16.50.205.100@53","NOERROR","25.6"
"test19.example.test","2026-06-30 16:35:07 AEST","16.50.205.100@53","NOERROR","27.5"
